id,pathId,Category,Topic,Priority,Notes,PracticeExercise,link
1,csharp,.NET & C# Advanced,Advanced LINQ,High,"Explain deferred execution vs. immediate execution in detail. Discuss how to build dynamic queries using Expression Trees.","Write a function that takes a collection of objects and a string representing a property name and a value. Use Expression Trees to dynamically build a LINQ query that filters the collection based on the property and value.",https://nhonvo.github.io/posts/2025-09-06-advanced-linq
2,csharp,.NET & C# Advanced,Advanced Reflection and Roslyn,High,"Discuss the performance implications of reflection. Explain how to use the Roslyn compiler API for code analysis and generation.","Write a simple Roslyn analyzer that identifies and flags the use of DateTime.Now in code, suggesting DateTime.UtcNow as a best practice.",https://nhonvo.github.io/posts/2025-09-06-advanced-reflection-roslyn
3,csharp,.NET & C# Advanced,"Async/Await Deep Dive (State Machine, SynchronizationContext, ConfigureAwait)",High,"Be ready to explain the async state machine and demonstrate with code how a deadlock can occur (e.g., in a UI or classic ASP.NET context) and how ConfigureAwait(false) helps prevent it.","Create a simple Console App that calls an async method and blocks on the result (e.g., using .Result or .Wait()). Explain why it deadlocks in some environments. Modify the async method to use ConfigureAwait(false) and explain why that resolves the issue.",https://nhonvo.github.io/posts/2025-09-06-async-await-deep-dive
4,csharp,.NET & C# Advanced,Channels for Producer/Consumer Scenarios,High,Explain how System.Threading.Tasks.Channels can be used to create efficient producer/consumer workflows. Compare them to other synchronization primitives like BlockingCollection.,"Implement a background service that processes items from a queue. Use a Channel to pass data from a 'producer' (e.g., a controller endpoint) to a 'consumer' (the background service) in a thread-safe and asynchronous manner.",https://nhonvo.github.io/posts/2025-09-07-channels-producer-consumer-scenarios
5,csharp,.NET & C# Advanced,"Delegates, Events, Func<T>, Action<T>",High,Understand common use cases like event-driven architecture and callbacks.,"Create a 'Worker' class that performs a long-running operation. Define an event in this class called 'ProgressChanged'. Create a UI or Console class that subscribes to this event and reports the progress. Trigger the event from within the worker's operation.",https://nhonvo.github.io/posts/2025-09-06-delegates-events-func-action
6,csharp,.NET & C# Advanced,"Dependency Injection (Scopes: Singleton, Scoped, Transient)",High,"Explain the differences and when to use each scope in an ASP.NET Core application. Discuss the danger of Captive Dependencies.","In an ASP.NET Core API, create a simple service interface (e.g., IOperationLogger) and an implementation that has a unique ID (e.g., a Guid) set in its constructor. Register this service three times: once as Singleton, once as Scoped, and once as Transient. Inject all three into a controller and log their unique IDs on a single request to demonstrate the lifetime differences.",https://nhonvo.github.io/posts/2025-09-06-dependency-injection-scopes
7,csharp,.NET & C# Advanced,"Garbage Collection (Generations, LOH, Finalization, IDisposable)",High,"Understand how the GC works to write memory-efficient code. Explain the Dispose pattern.","Create a class that wraps an unmanaged resource (like a file stream). Implement the IDisposable pattern correctly, including a finalizer. Write client code to demonstrate its use with a 'using' statement and explain why both Dispose and the finalizer are needed.",https://nhonvo.github.io/posts/2025-09-06-garbage-collection
8,csharp,.NET & C# Advanced,"LINQ Internals (IQueryable vs. IEnumerable, Deferred Execution)",High,Explain how this impacts database queries with Entity Framework.,"Using EF Core and an in-memory database, write a query against a DbSet<Product>. First, use .AsEnumerable() before a .Where() clause and inspect the generated query. Then, write the same logic but use .AsQueryable() (or just chain the .Where() directly) and explain the difference in the executed SQL.",https://nhonvo.github.io/posts/2025-09-06-linq-internals
9,csharp,.NET & C# Advanced,"Memory Management (Stack vs. Heap, Value vs. Reference Types, Boxing/Unboxing)",High,Understand value types vs reference types and boxing/unboxing implications.,"Write code that passes a struct and a class to a method, modifies their properties inside the method, and prints the values before and after the call to demonstrate the difference. Create a scenario that causes extensive boxing and explain the performance hit.",https://nhonvo.github.io/posts/2025-09-06-memory-management
10,csharp,.NET & C# Advanced,Multithreading vs. Asynchronous Programming,High,Distinguish between CPU-bound and I/O-bound operations and when to use threads vs async/await.,"Write a program that calculates a heavy mathematical sequence (CPU bound) using Parallel.ForEach or Threads. Then write a program that fetches data from multiple URLs (I/O bound) using async/await. Measure and compare the performance and resource usage.",https://nhonvo.github.io/posts/2025-09-06-multithreading-vs-async
11,csharp,.NET & C# Advanced,.NET Generic Host & Application Lifetime,High,"Understand the startup process, DI container composition, and background services (IHostedService / BackgroundService).","Create a .NET Generic Host console application. Register a BackgroundService that runs a periodic task. Explain the application lifecycle events (StartAsync, StopAsync).",https://nhonvo.github.io/posts/2025-09-06-generic-host
12,csharp,.NET & C# Advanced,Expression Trees,Medium,Understand how code can be represented as data and manipulated at runtime. This is key for libraries like EF Core and AutoMapper.,"Create a simple expression tree manually that represents a lambda expression like 'x => x > 5'. Compile and execute it.",https://nhonvo.github.io/posts/2025-09-07-expression-trees
13,csharp,.NET & C# Advanced,High-Performance .NET with Span<T> and Memory<T>,Medium,"Know how to work with memory efficiently without allocations, especially for string parsing and buffer manipulation.","Write a method that parses a large string (e.g., a comma-separated line) using Substring (creating new strings) and then rewrite it using Span<T> (slice without allocation). Benchmark the two approaches.",https://nhonvo.github.io/posts/2025-09-07-span-memory
14,csharp,.NET & C# Advanced,IAsyncEnumerable & Streaming APIs,Medium,"Understand how to stream data asynchronously, which is useful for processing large datasets without loading everything into memory.","Create an API endpoint that returns an IAsyncEnumerable<int>. Consume this endpoint from a client application using the 'await foreach' statement.",https://nhonvo.github.io/posts/2025-09-07-iasyncenumerable-streaming
15,csharp,.NET & C# Advanced,Source Generators,Medium,Understand how to generate code at compile time to improve performance (avoiding reflection) and reduce boilerplate.,"Create a simple Source Generator that automatically implements the INotifyPropertyChanged interface for any class decorated with a custom attribute.",https://nhonvo.github.io/posts/2025-09-07-source-generators
16,csharp,.NET & C# Advanced,Unsafe Code and Pointers,Medium,Know when and how to use the 'unsafe' keyword and pointers for interoperability or extreme performance optimization.,"Write a method using 'unsafe' that copies data from one integer array to another using pointers. Explain the risks involved.",https://nhonvo.github.io/posts/2025-09-06-unsafe-code-pointers
17,csharp,ASP.NET Core,Advanced Authentication & Authorization,High,"Deep dive into Claims, Policies, Roles, and custom Authorization Handlers.","Implement a custom Authorization Handler that checks a specific claim (e.g., 'OfficeLocation') and logic (e.g., 'must be in NY'). Register it as a Policy and apply it to a Controller.",https://nhonvo.github.io/posts/2025-09-06-advanced-auth
18,csharp,ASP.NET Core,API Security (OWASP Top 10),High,"Discuss how to prevent common vulnerabilities (e.g., SQL Injection, XSS, CSRF) within the ASP.NET Core framework.","Create an API endpoint that takes a raw string and uses it to build a SQL query with string concatenation. Explain why this is vulnerable to SQL Injection. Refactor the code to use parameterized queries (e.g., with Dapper or EF Core's FromSqlRaw) to prevent the vulnerability.",https://nhonvo.github.io/posts/2025-09-06-api-security
19,csharp,ASP.NET Core,Authentication vs. Authorization,High,"Explain common schemes like JWT, OAuth 2.0, OpenID Connect, and Cookie-based authentication.","Create two API endpoints. Secure one with [Authorize]. Secure the second with a custom policy-based authorization requirement (e.g., [Authorize(Policy = IsAdmin"")]). Implement the policy and handler to check for a specific claim in the user's identity.""",https://nhonvo.github.io/posts/2025-09-06-authentication-vs-authorization
20,csharp,ASP.NET Core,"Configuration Management (appsettings, User Secrets, Environment Variables, Azure Key Vault)",High,"Understand the configuration hierarchy and how to manage secrets safely.","Create an app that reads settings from appsettings.json, environment variables, and User Secrets. Show how environment variables override appsettings values.",https://nhonvo.github.io/posts/2025-09-06-configuration-management
21,csharp,ASP.NET Core,"Filters (Action, Authorization, Exception, Resource, Result)",High,Describe the filter pipeline and provide use cases for each type of filter.,Create a custom Action Filter attribute that logs the time it takes for an action method to execute. Apply this filter to a controller action and verify that it logs the timing information correctly.,https://nhonvo.github.io/posts/2025-09-06-filters
22,csharp,ASP.NET Core,Middleware Pipeline,High,Explain how the request pipeline is built and the importance of middleware ordering.,"Create a custom middleware component that logs the request path and a custom response header. Register it in the pipeline. Then, register a second piece of middleware that short-circuits the pipeline (doesn't call next). Demonstrate how changing the order of these two middleware components affects the application's behavior.",https://nhonvo.github.io/posts/2025-09-06-middleware-pipeline
23,csharp,ASP.NET Core,Advanced Model Validation (FluentValidation),Medium,Move validation logic out of controllers and DTOs into dedicated validators.,"Integrate FluentValidation into an ASP.NET Core project. Create a complex validator for a 'UserRegistration' DTO that checks if the email is unique (simulated DB check) and if the password meets complexity requirements.",https://nhonvo.github.io/posts/2025-09-06-advanced-model-validation
24,csharp,ASP.NET Core,API Documentation with OpenAPI/Swagger,Medium,Maintain clear docs for 24/7 operations.,"Add Swashbuckle (Swagger) to an API. Configure it to generate XML comments documentation. Decorate a controller action with [ProducesResponseType] attributes to document possible HTTP status codes.",https://nhonvo.github.io/posts/2025-09-06-api-documentation
25,csharp,ASP.NET Core,"API Versioning Strategies (URL, Header, Query String)",Medium,Discuss the pros and cons of each approach.,"Using the Asp.Versioning.Mvc library, create a single controller with two action methods that respond to the same route. One method should be for API version 1.0, and the other for 2.0. Configure the application to support URL-segment-based versioning (e.g., /api/v1/products).",https://nhonvo.github.io/posts/2025-09-06-api-versioning
26,csharp,ASP.NET Core,CORS Policies and Security,Medium,Understand Cross-Origin Resource Sharing and how to configure it securely.,"Create an API and a separate simple HTML/JS client running on a different port. Configure CORS in the API to allow requests only from the client's origin.",https://nhonvo.github.io/posts/2025-09-06-cors-policies
